number_of_cases_alleged,number_of_accused,victim_count,cross_state_indicator,cross_border_indicator,financial_fraud_indicator,property_offence_indicator,organized_operation_indicator,repeat_offender_indicator,social_engineering_indicator,ipc_379,ipc_420,ipc_120b_or_34,evidence_completeness_score,charge_sheet_filed,custody_duration_days,statutory_cert_present,chain_of_custody_complete,fake_call_center_indicator,parallel_telephone_exchange_indicator,bulk_corporate_sim_indicator,forged_company_indicator,voip_calling_indicator,government_telecom_revenue_loss,vishing_indicator,night_call_ratio,call_burst_frequency,imei_sim_swap_ratio,avg_call_duration_sec,multiple_calling_numbers_indicator,it_act_66d,telegraph_act_sections,internet_banking_software_targeted,banking_password_compromised,unauthorized_transfer_amount_inr,amount_credited_to_accused_ratio,account_frozen_indicator,suspicious_credit_not_reported,bank_correction_request_absent,is_fund_transit_velocity_applicable,fund_transit_velocity_minutes,fan_in_count,fraudulent_website_count,payment_gateway_count,linked_beneficiary_account_count,card_credential_harvesting_indicator,it_act_66,it_act_66c,vehicle_assisted_theft,helmet_concealment_indicator,victim_walking_alone_indicator,victim_approached_from_behind,physical_force_used,stolen_physical_asset_count,stolen_asset_recovered,victim_identification_success,test_identification_parade_validity,reasonable_doubt_identity_gap,ipc_356,ipc_392,ipc_411,ipc_448,ipc_380,network_degree,network_betweenness,topological_kingpin_score,court_level_High Court,court_level_Supreme Court,court_level_Trial Court,case_type_Sec 439 CrPC (Regular Bail),case_type_Sec 482 CrPC (Quashing),case_type_Trial Judgment,case_type_Writ Petition (Detention),label_entity_role,label_high_risk_cyber_syndicate,label_bail_or_custody_relief,label_conviction_outcome
2,5,1,0,0,0,1,0,0,0,1,0,0,0.5955,1,22,1,1,0,0,0,0,0,0,0,0.0955,3,1.3934,93.87,0,0,0,0,0,29394.3,0.0111,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,2,0.0282,0.0257,0,0,1,0,1,0,0,2,0,0,0
4,1,2,0,0,0,0,0,0,0,0,0,0,0.1871,1,4,0,1,0,0,0,0,0,0,0,0.0187,8,1.1598,167.37,0,0,0,0,0,0.0,0.1586,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0175,0.0126,0,0,1,0,1,0,0,0,0,1,0
2,4,73,1,0,1,0,1,1,0,0,1,1,0.4062,1,62,0,0,0,0,0,0,0,0,0,0.0825,2,1.0,65.33,0,0,0,1,1,5395424.58,0.9242,1,1,1,1,5.33,14,0,0,11,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0.0883,0.0454,1,0,0,0,0,1,0,3,1,0,0
4,1,1,0,0,1,1,0,1,1,1,1,0,0.5965,1,70,1,1,0,0,0,0,0,0,0,0.0927,6,1.1681,78.77,0,1,0,0,0,55679.19,0.1061,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0.0815,0.0507,0,0,1,0,0,0,1,2,0,1,0
1,1,1,0,0,0,1,0,0,0,1,0,1,0.8111,0,53,0,0,0,0,0,0,0,0,0,0.0281,3,1.0252,175.83,0,0,0,0,0,29403.59,0.1607,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,1,1,1,1,2,0.0994,0.0905,0,0,1,1,0,0,0,2,0,1,0
1,1,1,0,0,0,1,0,0,0,1,0,0,0.7768,1,73,0,0,0,0,0,0,0,0,0,0.112,4,1.0889,42.38,0,0,0,0,0,6387.03,0.1688,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,1,0,0,0,3,0.0884,0.0638,1,0,0,0,0,1,0,2,0,1,0
1,3,1,0,0,1,1,1,0,1,1,1,0,0.5026,1,116,0,1,0,0,0,0,0,0,0,0.027,3,1.0263,104.97,0,1,0,0,0,132436.48,0.1199,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0189,0.0137,1,0,0,0,1,0,0,2,0,1,0
2,21,46,1,0,1,0,1,0,1,0,1,1,0.6518,1,24,0,0,1,0,1,1,0,0,1,0.7065,118,7.2941,207.69,1,1,0,0,0,3201309.35,0.0269,0,0,0,1,4.62,0,5,3,6,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0.1631,0.0656,0,0,1,0,1,0,0,3,1,0,0
2,8,64,1,0,1,0,1,0,1,0,1,1,0.7236,1,74,1,1,1,0,1,0,1,0,1,0.6039,130,5.3189,120.63,1,1,0,0,0,2720106.08,0.1362,1,0,0,1,8.52,0,4,1,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0.0722,0.0347,1,0,0,1,0,0,0,5,1,1,1
2,4,2,0,0,1,1,0,0,1,1,1,1,0.4257,1,121,1,1,0,0,0,0,0,0,0,0.0648,3,1.1255,106.98,0,1,0,0,0,96644.75,0.0831,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0.0624,0.0568,1,0,0,0,0,0,1,2,0,1,0
1,4,24,1,0,1,0,1,1,0,0,1,1,0.3918,1,155,0,0,0,1,1,1,1,1,0,0.7717,176,10.7742,50.27,1,1,1,0,0,1428111.76,0.0844,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.6113,0.5564,0,1,0,1,0,0,0,1,1,1,0
1,5,1,0,0,0,1,1,0,0,1,0,1,0.6758,1,113,0,1,0,0,0,0,0,0,0,0.1425,5,1.1122,154.4,0,0,0,0,0,28201.51,0.0737,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,3,0,0,0,1,0,0,0,0,1,4,0.0264,0.0164,0,0,1,0,0,0,1,2,0,1,0
1,4,1,0,0,1,1,1,1,1,1,1,1,0.591,0,82,0,1,0,0,0,0,0,0,0,0.1645,6,1.2875,117.89,0,1,0,0,0,26084.39,0.1842,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0233,0.0336,0,0,1,0,0,0,1,2,0,1,0
4,11,43,1,0,1,0,1,0,1,0,1,1,0.4882,1,43,1,1,1,0,1,1,0,0,1,0.5692,144,3.687,167.51,1,1,0,0,0,4440342.23,0.0435,0,0,0,1,5.88,0,1,1,9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0.1748,0.0898,0,0,1,1,0,0,0,5,1,1,0
1,8,95,1,0,1,0,1,1,1,0,1,1,0.5807,1,183,1,1,1,0,1,0,1,0,1,0.8216,145,6.375,282.81,1,1,0,0,0,658616.47,0.1059,0,0,0,1,16.49,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0.1924,0.0836,0,0,1,1,0,0,0,5,1,0,0
7,8,76,1,0,1,0,1,1,0,0,1,1,0.4771,1,42,0,0,0,0,0,0,0,0,0,0.0682,1,1.0738,153.67,0,0,0,1,1,12104805.07,0.4738,1,1,1,1,14.79,8,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0.289,0.0935,0,0,1,1,0,0,0,4,1,0,0
1,1,2,0,0,0,1,1,1,0,1,0,0,0.565,1,174,0,0,0,0,0,0,0,0,0,0.0386,9,1.0507,60.07,0,0,0,0,0,10976.9,0.0618,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,4,1,1,1,0,0,1,1,0,1,2,0.0263,0.0239,1,0,0,0,0,1,0,2,0,0,0
2,10,97,1,0,1,0,1,1,1,0,1,1,0.967,1,24,1,1,1,0,1,1,1,0,1,0.847,56,4.6447,71.41,1,1,0,0,0,2153904.56,0.004,0,0,0,1,3.77,0,1,2,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,10,0.1674,0.0698,1,0,0,1,0,0,0,3,1,1,1
1,3,43,1,0,1,0,1,0,0,0,1,1,0.7692,1,186,0,0,0,1,1,1,1,1,0,0.6351,333,11.1759,71.35,1,1,1,0,0,717152.3,0.1556,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.6337,0.5768,1,0,0,1,0,0,0,1,1,1,0
1,4,2,0,0,0,1,1,0,0,1,0,0,0.9006,1,177,0,0,0,0,0,0,0,0,0,0.112,5,1.1387,157.42,0,0,0,0,0,11339.31,0.1981,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,3,0,1,1,0,1,0,0,1,0,3,0.0497,0.0358,0,0,1,1,0,0,0,2,0,0,1
1,18,17,1,1,1,0,1,0,0,0,1,1,0.7019,1,207,1,1,0,1,1,1,1,1,0,0.6891,428,10.381,45.99,1,1,1,0,0,622366.05,0.0067,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0.0935,0.0265,0,1,0,1,0,0,0,4,1,1,1
1,5,1,0,0,0,1,0,1,0,1,0,0,0.682,1,166,0,0,0,0,0,0,0,0,0,0.1082,1,1.0,161.59,0,0,0,0,0,8536.64,0.0104,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,1,0,0,0,1,0,0,3,0.0703,0.0507,1,0,0,1,0,0,0,2,0,0,1
1,3,2,0,0,0,1,0,1,0,1,0,0,0.6822,1,105,0,0,0,0,0,0,0,0,0,0.0757,2,1.3224,84.06,0,0,0,0,0,27683.78,0.0357,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0.0382,0.0551,0,0,1,0,1,0,0,2,0,1,0
7,3,1,0,0,0,0,0,0,0,0,0,0,0.3533,0,12,1,1,0,0,0,0,0,0,0,0.0785,2,1.1814,33.41,0,0,0,0,0,0.0,0.1263,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0.0169,0.0105,0,0,1,0,1,0,0,0,0,1,0
1,5,1,0,0,0,0,0,0,0,0,0,0,0.1946,0,33,0,0,0,0,0,0,0,0,0,0.0,1,1.11,119.66,0,0,0,0,0,0.0,0.1122,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0729,0.0526,0,0,1,0,0,0,1,0,0,1,0
4,12,64,1,0,1,0,1,0,0,0,1,1,0.7976,1,31,1,1,0,0,0,0,0,0,0,0.08,9,1.2193,45.39,0,0,0,1,1,11571148.91,0.8233,1,1,1,1,6.65,9,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.1812,0.0706,0,0,1,1,0,0,0,4,1,0,1
2,5,1,0,0,1,1,1,0,1,1,1,0,0.4569,1,17,1,1,0,0,0,0,0,0,0,0.103,4,1.0923,37.84,0,0,0,0,0,24158.32,0.0732,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,30,0.0872,0.0254,0,0,1,0,0,0,1,4,0,1,0
2,1,2,0,0,0,1,0,1,0,1,0,0,0.6918,1,75,1,1,0,0,0,0,0,0,0,0.0981,6,1.0,62.01,0,0,0,0,0,23615.96,0.0034,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,3,0.0914,0.0659,1,0,0,0,1,0,0,2,0,1,0
1,21,59,1,0,1,0,1,0,0,0,1,1,0.7635,1,268,1,1,0,1,1,1,1,1,0,0.6906,174,12.2912,73.46,1,1,1,0,0,2414127.91,0.1642,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0.1175,0.073,1,0,0,0,0,0,1,3,1,1,1
2,20,57,0,0,1,0,1,0,1,0,1,1,0.7284,1,24,1,1,1,0,1,1,1,0,1,0.7127,69,3.1054,125.1,1,1,0,0,0,2061515.69,0.1687,0,0,0,1,6.13,0,5,2,4,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0.1542,0.0702,1,0,0,0,0,1,0,3,1,0,1
4,2,1,0,0,0,1,0,1,0,1,0,0,0.8895,1,13,0,0,0,0,0,0,0,0,0,0.0153,4,1.0,156.21,0,0,0,0,0,43701.66,0.1169,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,0,0,1,1,0,1,0,0,4,0.0303,0.0189,0,0,1,0,0,1,0,2,0,1,0
1,18,80,1,0,1,0,1,0,1,0,1,1,0.856,0,143,0,1,1,0,1,1,1,0,1,0.5695,140,6.9435,295.16,1,1,0,0,0,1181557.66,0.0552,1,0,0,1,16.88,0,5,2,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0.1055,0.0589,0,0,1,1,0,0,0,5,1,0,0
2,2,2,0,0,0,1,0,0,0,1,0,1,0.6374,1,79,0,0,0,0,0,0,0,0,0,0.0891,4,1.2066,129.25,0,0,0,0,0,19148.22,0.1388,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,1,1,0,0,2,0.0994,0.0904,0,0,1,0,1,0,0,0,0,1,0
1,4,1,0,0,0,0,0,0,0,0,0,0,0.1751,1,32,0,0,0,0,0,0,0,0,0,0.0226,3,1.0228,88.88,0,0,0,0,0,0.0,0.1106,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0694,0.0431,0,0,1,0,1,0,0,0,0,1,0
1,1,1,0,0,1,1,0,1,1,1,1,1,0.5841,1,60,0,0,0,0,0,0,0,0,0,0.1553,6,1.1495,30.06,0,0,0,0,0,83895.55,0.0405,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,44,0.2927,0.0769,0,0,1,0,0,0,1,4,0,1,0
27,3,20,1,0,1,0,1,0,0,0,1,1,0.4941,1,163,1,1,0,1,1,1,1,1,0,0.4797,148,3.7441,87.55,1,1,1,0,0,1540372.23,0.0256,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5929,0.8553,1,0,0,1,0,0,0,1,1,1,0
1,1,1,0,0,1,1,0,1,1,1,1,0,0.4365,1,36,0,0,0,0,0,0,0,0,0,0.0231,3,1.3648,150.3,0,1,0,0,0,76529.55,0.0791,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0.0518,0.0266,1,0,0,0,0,0,1,5,0,1,0
1,17,12,1,0,1,0,1,0,1,0,1,1,0.5646,1,98,1,0,1,0,1,1,0,0,1,0.8672,115,7.2593,96.36,1,1,0,0,0,386682.92,0.1086,0,0,0,1,21.11,0,3,2,5,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0.0842,0.0339,0,0,1,0,0,1,0,3,1,0,0
27,18,25,1,0,1,0,1,0,1,0,1,1,0.5354,0,80,1,1,1,0,1,1,1,0,1,0.6135,50,6.5728,292.93,1,1,0,0,0,668763.21,0.0852,1,0,0,1,4.74,0,3,3,7,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0.2277,0.117,0,0,1,0,1,0,0,5,1,1,0
4,4,2,0,0,0,1,0,0,0,1,0,1,0.5839,0,106,1,1,0,0,0,0,0,0,0,0.1651,8,1.0756,90.84,0,0,0,0,0,28243.22,0.0681,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,2,0.0683,0.0622,0,0,1,1,0,0,0,2,0,1,0
2,1,2,0,0,0,0,0,0,0,0,0,0,0.2156,1,17,1,1,0,0,0,0,0,0,0,0.0452,9,1.0445,34.13,0,0,0,0,0,0.0,0.1244,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.051,0.0368,0,0,1,0,1,0,0,0,0,1,0
4,13,60,1,0,1,0,1,0,0,0,1,1,0.7736,1,169,0,0,0,0,0,0,0,0,0,0.1055,1,1.1583,110.23,0,0,0,1,1,4150723.55,0.7537,1,1,1,1,18.8,23,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0.2118,0.0666,1,0,0,1,0,0,0,4,1,1,1
4,2,2,0,0,1,0,0,0,0,0,0,0,0.3483,1,37,0,0,0,0,0,0,0,0,0,0.1112,4,1.1132,155.94,0,0,0,0,0,0.0,0.049,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0.0276,0.0199,0,0,1,0,1,0,0,0,0,1,0
4,3,2,0,0,0,0,0,0,0,0,0,0,0.1627,0,1,0,1,0,0,0,0,0,0,0,0.1268,7,1.1704,70.45,0,0,0,0,0,0.0,0.1276,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0.0876,0.0797,0,0,1,0,1,0,0,0,0,1,0
1,8,51,1,0,1,0,1,0,0,0,1,1,0.5474,1,277,1,0,0,1,1,1,1,1,0,0.7708,193,5.7582,24.95,1,1,1,0,0,2255716.48,0.0118,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0.1644,0.0748,1,0,0,1,0,0,0,3,1,1,0
1,3,2,0,0,0,0,0,0,0,0,0,0,0.1091,1,40,1,1,0,0,0,0,0,0,0,0.0559,7,1.0,95.91,0,0,0,0,0,0.0,0.1287,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0.0744,0.0537,0,0,1,1,0,0,0,0,0,1,0
1,2,1,0,0,0,1,0,0,0,1,0,1,0.8567,1,49,0,0,0,0,0,0,0,0,0,0.1338,5,1.2529,53.96,0,0,0,0,0,10564.53,0.1848,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,3,0.0896,0.0646,0,0,1,0,0,0,1,2,0,1,0
1,2,2,0,0,0,1,0,0,0,1,0,1,0.8157,1,153,1,1,0,0,0,0,0,0,0,0.028,7,1.125,143.96,0,0,0,0,0,18046.28,0.1843,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,1,1,0,0,0,0,1,0.0217,0.0312,0,0,1,0,0,0,1,2,0,1,0
1,2,2,0,0,0,1,0,0,0,1,0,0,0.6568,0,157,1,1,0,0,0,0,0,0,0,0.1449,9,1.0429,96.53,0,0,0,0,0,32018.82,0.0199,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,3,1,0,0,1,1,0,1,0,1,1,0.0275,0.0397,1,0,0,1,0,0,0,0,0,1,0
2,4,2,0,0,1,1,1,1,1,1,1,0,0.4679,1,19,0,1,0,0,0,0,0,0,0,0.0906,3,1.1423,140.44,0,0,0,0,0,83347.88,0.0459,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,45,0.3037,0.0793,1,0,0,0,0,0,1,4,0,1,0
1,16,52,1,0,1,0,1,1,1,0,1,1,0.9651,1,16,1,1,1,0,1,1,1,0,1,0.4401,136,5.6886,124.47,1,1,0,0,0,2808906.89,0.1481,1,0,0,1,3.25,0,1,2,9,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0.1326,0.0533,0,0,1,0,0,0,1,5,1,0,1
1,1,2,0,0,1,1,1,1,1,1,1,1,0.4503,0,155,0,0,0,0,0,0,0,0,0,0.0668,5,1.0,137.96,0,1,0,0,0,130665.89,0.0765,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,39,0.1473,0.0399,1,0,0,1,0,0,0,4,0,1,0
2,18,51,1,0,1,0,1,1,0,0,1,1,0.397,0,133,1,1,0,0,0,0,0,0,0,0.0834,9,1.1867,36.09,0,0,0,1,1,3583897.48,0.4032,1,1,1,1,3.98,15,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0.0943,0.027,1,0,0,0,0,1,0,4,1,1,0
2,6,13,1,0,1,0,1,1,1,0,1,1,0.521,1,160,0,0,1,0,0,1,0,0,1,0.7032,54,5.7117,83.95,1,1,0,0,0,3131657.94,0.0115,0,0,0,1,10.96,0,3,2,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0.0851,0.0295,0,0,1,1,0,0,0,4,1,1,0
7,4,1,0,0,1,1,0,1,1,1,1,1,0.8198,1,157,0,0,0,0,0,0,0,0,0,0.051,7,1.0487,57.47,0,0,0,0,0,19232.26,0.0461,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0.0243,0.035,1,0,0,1,0,0,0,2,0,1,1
4,24,82,1,0,1,0,1,0,1,0,1,1,0.4276,1,89,1,1,1,0,1,1,1,0,1,0.6833,49,7.644,180.52,1,1,0,0,0,2620075.15,0.1427,1,0,0,1,1.61,0,1,4,9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,0.0549,0.0221,1,0,0,0,1,0,0,3,1,0,0
21,2,2,0,0,0,1,0,0,0,1,0,1,0.5411,1,110,0,0,0,0,0,0,0,0,0,0.1165,6,1.1889,169.32,0,0,0,0,0,12132.84,0.036,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,4,0.0576,0.0358,0,0,1,1,0,0,0,2,0,1,0
7,10,5,1,0,1,0,1,0,0,0,1,1,0.436,1,57,0,0,0,0,0,0,0,0,0,0.1362,8,1.1431,121.74,0,0,0,1,1,6996705.85,0.6365,1,1,1,1,2.55,16,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0.073,0.0454,1,0,0,1,0,0,0,3,1,0,0
2,1,2,0,0,0,1,1,1,0,1,0,0,0.8976,1,73,0,0,0,0,0,0,0,0,0,0.1011,5,1.0497,99.51,0,0,0,0,0,31683.89,0.0325,0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,2,0.0857,0.078,0,0,1,1,0,0,0,0,0,1,0
